Estado civil,Modo de inscrição,Ordem de prioridade de escolha,Curso,Turno,Qualificação anterior,Qualificação anterior (Nota),Nacionalidade,Qualificação da mãe,Qualificação do pai,Ocupação da mãe,Ocupação do pai,Nota de admissão,Deslocado,Necessidade de educação especial,Devedor,Pagamento em dia,Gênero,Bolsista,Idade na inscrição,Internacional,Unidades curriculares 1º semestre (creditadas),Unidades curriculares 1º semestre (inscritos),Unidades curriculares 1º semestre (avaliações),Unidades curriculares 1º semestre (aprovado),Unidades curriculares 1º semestre (nota),Unidades curriculares 1º semestre (sem avaliações),Unidades curriculares 2º semestre (creditadas),Unidades curriculares 2º semestre (inscritos),Unidades curriculares 2º semestre (avaliações),Unidades curriculares 2º semestre (aprovado),Unidades curriculares 2º semestre (nota),Unidades curriculares 2º semestre (sem avaliações),taxa de desemprego,Taxa de inflação,GDP,Target
Solteiro,1ª fase - Entrada geral,1,Medicina Veterinária,Diurno,Ensino médio,122.0,Portugal,12º Ano de Escolaridade - Não Concluído,Ensino Básico 3º Ciclo,Outra Situação,"Agricultores e Trabalhadores Qualificados da Agricultura, Pesca e Silvicultura",103.4,não,Não,não,sim,Feminino,não,19,não,0,5,6,5,14.4,0,0,5,6,5,13.0,0,7.6,2.6,0.32,Graduado
Solteiro,1ª fase - Entrada geral,1,Jornalismo e Comunicação,Diurno,Ensino médio,127.0,Portugal,Ensino básico 1º Ciclo,Ensino básico 1º Ciclo,Trabalhadores Não Qualificados,Instaladores e Operadores de Máquinas e Trabalhadores de Montagem,123.2,sim,Não,não,sim,Feminino,não,18,não,0,6,12,1,11.0,0,0,6,12,0,0.0,0,9.4,-0.8,-3.12,Matriculado
Solteiro,2ª fase - Entrada geral,1,administração,Diurno,Ensino médio,136.0,Portugal,Ensino Secundário,Ensino Secundário,Pessoal Administrativo,Pessoal Administrativo,124.1,não,Não,não,sim,Feminino,não,18,não,0,5,8,5,12.4,0,0,5,6,5,10.8,0,8.9,1.4,3.51,Graduado
Casado,Maiores de 23 anos,1,odontologia,Diurno,Ensino básico 3.º ciclo (9.º/10.º/11.º ano) ou equivalente,133.1,Portugal,Ensino Básico 2º Ciclo,Ensino básico 1º Ciclo,"Trabalhadores Qualificados da Indústria, Construção e Artesãos","Trabalhadores Qualificados da Indústria, Construção e Artesãos",99.5,sim,Não,sim,não,Feminino,sim,37,não,0,7,13,1,16.0,0,0,7,12,0,0.0,0,8.9,1.4,3.51,Desistente
Solteiro,2ª fase - Entrada geral,1,administração (atendimento noturno),Noturno,Ensino superior - licenciatura (1.º ciclo),127.0,Portugal,Ensino básico 1º Ciclo,Ensino básico 1º Ciclo,"Agricultores e Trabalhadores Qualificados da Agricultura, Pesca e Silvicultura","Agricultores e Trabalhadores Qualificados da Agricultura, Pesca e Silvicultura",124.9,não,Não,não,sim,Feminino,não,29,não,0,5,10,5,13.571428571428571,0,0,5,14,5,12.333333333333334,3,16.2,0.3,-0.92,Graduado
Solteiro,2ª fase - Entrada geral,3,Design de Comunicação,Diurno,Ensino médio,116.0,Portugal,Ensino básico 1º Ciclo,Ensino básico 1º Ciclo,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,110.8,não,Não,não,sim,Feminino,não,18,não,0,6,6,6,11.833333333333334,0,0,6,6,6,12.5,0,7.6,2.6,0.32,Matriculado
Solteiro,1ª fase - Entrada geral,1,Serviço Social,Diurno,Ensino médio,121.0,Portugal,Ensino Secundário,Ensino Secundário,Trabalhadores Não Qualificados,Instaladores e Operadores de Máquinas e Trabalhadores de Montagem,118.9,sim,Não,não,sim,Feminino,sim,19,não,0,6,8,5,11.666666666666666,0,0,6,9,5,12.666666666666666,0,12.4,0.5,1.79,Graduado
Solteiro,Mudança de curso,1,Serviço Social,Diurno,Ensino médio,124.0,Portugal,Ensino Secundário,Ensino Secundário,Técnicos e Profissões de Nível Intermediário,"Representantes do Poder Legislativo e dos Órgãos Executivos, Diretores, Directores e Gerentes Executivos",118.8,sim,Não,sim,não,Feminino,não,22,não,6,10,16,6,11.833333333333334,0,2,7,8,2,13.0,0,16.2,0.3,-0.92,Desistente
Solteiro,1ª fase - Entrada geral,1,Turismo,Diurno,Ensino médio,131.0,Portugal,Ensino básico 1º Ciclo,Ensino Básico 2º Ciclo,Trabalhadores Não Qualificados,"Trabalhadores Qualificados da Indústria, Construção e Artesãos",137.0,não,Não,não,sim,Feminino,sim,20,não,0,6,8,6,11.166666666666666,0,0,6,10,5,10.6,0,15.5,2.8,-4.06,Graduado
Solteiro,Maiores de 23 anos,1,Serviço Social (noturno),Noturno,Ensino médio,100.0,Portugal,Ensino básico 1º Ciclo,Ensino básico 1º Ciclo,(em branco),(em branco),100.0,não,Não,não,sim,Feminino,não,34,não,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Desistente
Solteiro,Mudança de curso,1,Engenharia de software,Diurno,Ensino médio,130.0,Portugal,Ensino básico 1º Ciclo,Ensino Básico 2º Ciclo,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,120.0,não,Não,sim,não,Feminino,não,30,não,8,12,17,8,11.75,0,6,12,19,6,12.166666666666666,2,7.6,2.6,0.32,Desistente
Solteiro,1ª fase - Entrada geral,1,Serviço Social,Diurno,Ensino médio,135.0,Portugal,Ensino Secundário,Ensino Secundário,Pessoal Administrativo,Pessoal Administrativo,122.8,não,Não,não,sim,Feminino,não,18,não,0,6,7,6,14.0,0,0,6,7,6,14.0,0,10.8,1.4,1.74,Graduado
Solteiro,1ª fase - Entrada geral,1,Serviço Social,Diurno,Ensino médio,130.0,Portugal,Ensino Básico 2º Ciclo,Ensino Básico 3º Ciclo,Trabalhadores Não Qualificados,"Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores",121.6,não,Não,não,sim,Feminino,não,18,não,0,6,6,6,12.833333333333334,0,0,6,6,6,12.0,0,12.4,0.5,1.79,Graduado
Solteiro,1ª fase - Entrada geral,2,Jornalismo e Comunicação,Diurno,Ensino médio,146.0,Portugal,Ensino Superior - Bacharelado,Ensino Secundário,"Representantes do Poder Legislativo e dos Órgãos Executivos, Diretores, Directores e Gerentes Executivos",Técnicos e Profissões de Nível Intermediário,149.2,sim,Não,não,sim,Feminino,não,18,não,0,6,11,4,12.25,0,0,6,10,3,11.666666666666666,0,9.4,-0.8,-3.12,Graduado
Solteiro,2ª fase - Entrada geral,4,Enfermagem,Diurno,Ensino médio,146.0,Portugal,Ensino Superior - Mestrado,Ensino Secundário,Especialistas em Atividades Intelectuais e Científicas,Técnicos e Profissões de Nível Intermediário,140.0,sim,Não,não,sim,Feminino,não,18,não,0,8,8,7,14.828571428571427,0,0,8,8,7,14.828571428571427,0,12.7,3.7,-1.7,Graduado
Solteiro,1ª fase - Entrada geral,2,Jornalismo e Comunicação,Diurno,Ensino médio,154.0,Portugal,Ensino Básico 2º Ciclo,Ensino Básico 2º Ciclo,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,133.4,sim,Não,não,sim,Feminino,sim,19,não,0,6,7,5,11.4,0,0,6,8,5,12.8,0,12.7,3.7,-1.7,Graduado
Solteiro,1ª fase - Entrada geral,1,Design de Comunicação,Diurno,Ensino médio,137.0,Portugal,Ensino básico 1º Ciclo,Ensino básico 1º Ciclo,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,126.2,sim,Não,não,sim,Feminino,sim,19,não,0,6,6,6,13.0,0,0,6,8,6,12.5,0,10.8,1.4,1.74,Graduado
Solteiro,1ª fase - Entrada geral,5,Enfermagem,Diurno,Ensino médio,151.0,Portugal,Ensino Secundário,Ensino Secundário,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,127.8,não,Não,não,sim,Feminino,sim,18,não,0,8,8,7,13.671428571428573,0,0,8,8,7,13.671428571428573,0,12.7,3.7,-1.7,Graduado
Solteiro,Titulares de diploma de especialização tecnológica,1,Agronomia,Diurno,Curso de especialização tecnológica,150.0,Portugal,Ensino básico 1º Ciclo,Ensino Básico 2º Ciclo,Pessoal Administrativo,Instaladores e Operadores de Máquinas e Trabalhadores de Montagem,150.0,não,Não,não,sim,Feminino,sim,21,não,0,6,9,6,12.666666666666666,0,0,6,8,5,12.8,0,13.9,-0.3,0.79,Graduado
Solteiro,1ª fase - Entrada geral,2,administração,Diurno,Ensino médio,121.0,Portugal,Ensino Secundário,Ensino Básico 3º Ciclo,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,113.7,sim,Não,não,não,Feminino,não,20,não,0,5,10,2,10.0,0,0,5,12,1,13.0,0,7.6,2.6,0.32,Desistente
Solteiro,2ª fase - Entrada geral,1,administração,Diurno,Ensino médio,122.0,Portugal,11º Ano de Escolaridade,Ensino Básico 3º Ciclo,Pessoal Administrativo,Instaladores e Operadores de Máquinas e Trabalhadores de Montagem,117.8,sim,Não,não,sim,Feminino,não,20,não,0,5,10,5,13.5,0,0,5,8,5,12.333333333333334,0,13.9,-0.3,0.79,Graduado
Solteiro,1ª fase - Entrada geral,1,Enfermagem,Diurno,Ensino médio,143.0,Portugal,Ensino Superior - Doutorado,Ensino Secundário,Especialistas em Atividades Intelectuais e Científicas,"Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores",136.7,não,Não,não,sim,Feminino,não,19,não,2,7,8,7,12.67,0,1,8,8,8,13.55,0,11.1,0.6,2.02,Graduado
Solteiro,1ª fase - Entrada geral,1,Serviço Social,Diurno,Ensino médio,152.0,Portugal,Ensino Secundário,Ensino Básico 2º Ciclo,Pessoal Administrativo,"Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores",144.7,não,Não,não,sim,Feminino,não,20,não,0,6,8,6,14.5,0,0,6,7,6,15.428571428571429,0,16.2,0.3,-0.92,Graduado
Solteiro,2ª fase - Entrada geral,3,Enfermagem,Diurno,Ensino médio,145.0,Portugal,11º Ano de Escolaridade,Ensino Secundário,Pessoal Administrativo,Profissões das Forças Armadas,139.8,sim,Não,não,sim,Feminino,não,18,não,0,7,7,7,13.685714285714283,0,0,8,8,8,15.3875,0,13.9,-0.3,0.79,Graduado
Solteiro,Transferência,1,Educação básica (pedagogia),Diurno,Ensino médio,120.0,Portugal,Ensino básico 1º Ciclo,Ensino Básico 2º Ciclo,Técnicos e Profissões de Nível Intermediário,Técnicos e Profissões de Nível Intermediário,113.7,não,Não,não,sim,Feminino,não,20,não,0,6,8,5,11.0,0,0,6,10,3,10.666666666666666,0,12.7,3.7,-1.7,Desistente
Casado,Titulares de outros cursos superiores,1,Equinicultura,Diurno,Ensino superior — licenciatura,140.0,Portugal,Ensino Superior - Doutorado,Ensino Superior - Mestrado,Especialistas em Atividades Intelectuais e Científicas,Estudante,140.0,não,Não,sim,não,Feminino,não,29,não,7,9,16,7,11.555555555555555,4,5,7,12,5,13.2,2,7.6,2.6,0.32,Desistente
Solteiro,1ª fase - Entrada geral,1,Enfermagem,Diurno,Ensino médio,143.0,Portugal,Ensino Básico 3º Ciclo,Ensino Básico 3º Ciclo,"Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores","Agricultores e Trabalhadores Qualificados da Agricultura, Pesca e Silvicultura",142.3,não,Não,não,sim,Feminino,sim,18,não,0,7,7,7,13.79714285714286,0,0,8,8,8,13.775,0,12.4,0.5,1.79,Matriculado
Solteiro,1ª fase - Entrada geral,1,Enfermagem,Diurno,Ensino médio,129.0,Portugal,Ensino Básico 3º Ciclo,Ensino Básico 3º Ciclo,"Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores","Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores",119.6,sim,Não,não,sim,Feminino,sim,20,não,0,7,8,7,14.00375,0,0,8,11,7,13.812857142857142,0,15.5,2.8,-4.06,Graduado
Solteiro,1ª fase - Entrada especial (Ilha da Madeira),2,administração,Diurno,Ensino médio,139.0,Portugal,Ensino Básico 2º Ciclo,Ensino básico 1º Ciclo,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,123.7,sim,Não,não,sim,Feminino,sim,22,não,0,5,8,4,12.0,0,0,5,8,4,11.4,2,16.2,0.3,-0.92,Graduado
Divorciado,1ª fase - Entrada geral,1,Serviço Social (noturno),Noturno,Ensino médio,133.1,Portugal,Curso de especialização tecnológica,Ensino Básico 3º Ciclo,Pessoal Administrativo,Profissões das Forças Armadas,143.0,sim,Não,não,sim,Feminino,sim,47,não,0,6,9,5,14.166666666666666,0,0,6,7,6,14.166666666666666,0,16.2,0.3,-0.92,Graduado
Casado,Mudança de instituição/curso,1,administração (atendimento noturno),Noturno,Ensino médio,127.0,Portugal,Ensino básico 1º Ciclo,Ensino básico 1º Ciclo,Instaladores e Operadores de Máquinas e Trabalhadores de Montagem,Pessoal Administrativo,100.1,não,Não,não,sim,Feminino,não,31,não,1,5,5,5,14.0,0,0,5,5,5,13.8,0,8.9,1.4,3.51,Graduado
Solteiro,1ª fase - Entrada geral,1,Design de Comunicação,Diurno,Ensino médio,126.0,Portugal,Ensino Básico 3º Ciclo,Ensino básico 1º Ciclo,"Trabalhadores Qualificados da Indústria, Construção e Artesãos","Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores",119.4,não,Não,não,sim,Feminino,sim,21,não,0,6,7,5,13.8,0,0,6,6,6,12.833333333333334,0,16.2,0.3,-0.92,Graduado
Solteiro,1ª fase - Entrada geral,1,Serviço Social (noturno),Noturno,Ensino médio,128.0,Portugal,Ensino Básico 2º Ciclo,Ensino Básico 2º Ciclo,Estudante,Estudante,122.1,não,Não,não,sim,Feminino,não,21,não,0,6,8,5,12.8,0,0,6,10,6,11.857142857142858,0,7.6,2.6,0.32,Graduado
Casado,Maiores de 23 anos,1,Jornalismo e Comunicação,Diurno,11º ano de escolaridade,100.0,Portugal,Ensino Secundário,Ensino Secundário,Pessoal Administrativo,Pessoal Administrativo,100.0,não,Não,não,sim,Feminino,não,24,não,0,6,6,6,12.166666666666666,0,0,6,6,6,13.833333333333334,0,7.6,2.6,0.32,Graduado
Solteiro,2ª fase - Entrada geral,1,Design de Comunicação,Diurno,Ensino médio,123.0,Portugal,Ensino Superior - Mestrado,Ensino básico 1º Ciclo,Especialistas em Atividades Intelectuais e Científicas,Trabalhadores Não Qualificados,113.9,não,Não,não,sim,Feminino,não,18,não,0,6,8,6,12.5,0,0,6,6,6,12.333333333333334,0,15.5,2.8,-4.06,Matriculado
Solteiro,Maiores de 23 anos,1,Serviço Social (noturno),Noturno,10º ano de escolaridade – não concluído,170.0,Portugal,Desconhecido,Ensino Secundário,Outra Situação,Especialistas em Atividades Intelectuais e Científicas,101.0,não,Não,não,sim,Feminino,não,32,não,0,6,9,4,12.0,0,0,6,12,4,11.5,0,7.6,2.6,0.32,Graduado
Solteiro,3ª fase - Entrada geral,2,Serviço Social (noturno),Noturno,Ensino médio,117.0,Portugal,Ensino Superior - Bacharelado,Ensino Secundário,Técnicos e Profissões de Nível Intermediário,Pessoal Administrativo,111.8,sim,Não,não,sim,Feminino,sim,19,não,0,6,8,6,10.833333333333334,0,0,6,9,6,11.5,0,10.8,1.4,1.74,Graduado
Solteiro,Maiores de 23 anos,1,Enfermagem,Diurno,Ensino médio,140.0,Portugal,Ensino Superior - Bacharelado,Ensino Superior - Bacharelado,"Representantes do Poder Legislativo e dos Órgãos Executivos, Diretores, Directores e Gerentes Executivos","Representantes do Poder Legislativo e dos Órgãos Executivos, Diretores, Directores e Gerentes Executivos",140.0,sim,Não,não,sim,Feminino,não,24,não,0,8,8,8,13.385,0,0,8,8,8,13.385,0,9.4,-0.8,-3.12,Graduado
Solteiro,2ª fase - Entrada geral,4,Medicina Veterinária,Diurno,Ensino médio,123.0,Portugal,Ensino Básico 3º Ciclo,Ensino Básico 3º Ciclo,Pessoal Administrativo,Profissões das Forças Armadas,124.4,sim,Não,não,sim,Feminino,não,19,não,0,6,14,6,15.666666666666666,0,0,6,9,6,14.5,0,15.5,2.8,-4.06,Graduado
Solteiro,Titulares de diploma de especialização tecnológica,1,Agronomia,Diurno,Curso de especialização tecnológica,150.0,Portugal,Ensino Básico 3º Ciclo,Ensino básico 1º Ciclo,"Agricultores e Trabalhadores Qualificados da Agricultura, Pesca e Silvicultura","Agricultores e Trabalhadores Qualificados da Agricultura, Pesca e Silvicultura",150.0,não,Não,sim,sim,Feminino,sim,19,não,0,6,9,6,14.333333333333334,0,0,6,7,6,13.833333333333334,0,13.9,-0.3,0.79,Graduado
Solteiro,Titulares de diploma de especialização tecnológica,1,Agronomia,Diurno,Curso de especialização tecnológica,140.0,Portugal,Ensino básico 1º Ciclo,Ensino básico 1º Ciclo,Trabalhadores Não Qualificados,Pessoal Administrativo,140.0,não,Não,não,sim,Feminino,não,24,não,0,6,10,6,11.428571428571429,0,0,6,12,5,13.0,0,12.4,0.5,1.79,Matriculado
Solteiro,2ª fase - Entrada geral,4,Serviço Social,Diurno,Ensino médio,123.0,Portugal,Ensino Básico 3º Ciclo,Ensino Básico 3º Ciclo,191,Outro pessoal de apoio administrativo,116.0,sim,Não,não,sim,Feminino,sim,18,não,0,6,9,6,11.666666666666666,0,0,6,8,6,11.666666666666666,0,8.9,1.4,3.51,Graduado
Solteiro,1ª fase - Entrada geral,1,Design de Comunicação,Diurno,Ensino médio,130.0,Portugal,Ensino Básico 2º Ciclo,Ensino básico 1º Ciclo,Técnicos e Profissões de Nível Intermediário,"Agricultores e Trabalhadores Qualificados da Agricultura, Pesca e Silvicultura",135.6,sim,Não,não,sim,Feminino,sim,19,não,0,6,9,5,12.0,0,0,6,10,2,11.333333333333334,0,8.9,1.4,3.51,Desistente
Casado,1ª fase - Entrada geral,1,Enfermagem,Diurno,Ensino médio,137.0,Portugal,Ensino Superior - Bacharelado,Ensino Básico 2º Ciclo,Especialistas em Atividades Intelectuais e Científicas,Pessoal Administrativo,121.0,não,Não,não,sim,Feminino,sim,19,não,0,8,8,7,14.725714285714288,0,0,8,8,7,14.725714285714288,0,10.8,1.4,1.74,Graduado
Solteiro,2ª fase - Entrada geral,2,Jornalismo e Comunicação,Diurno,Ensino médio,126.0,Portugal,Ensino Básico 3º Ciclo,Ensino Básico 2º Ciclo,Trabalhadores Não Qualificados,Instaladores e Operadores de Máquinas e Trabalhadores de Montagem,118.7,sim,Não,não,sim,Feminino,sim,18,não,0,6,6,6,14.166666666666666,0,0,6,6,6,13.666666666666666,0,12.4,0.5,1.79,Graduado
Solteiro,1ª fase - Entrada geral,1,Serviço Social,Diurno,Ensino médio,125.0,Portugal,Ensino Secundário,Ensino Secundário,Técnicos e Profissões de Nível Intermediário,Técnicos e Profissões de Nível Intermediário,125.7,sim,Não,não,sim,Feminino,não,18,não,0,6,10,6,11.571428571428571,0,0,6,8,6,12.333333333333334,0,12.4,0.5,1.79,Graduado
Solteiro,2ª fase - Entrada geral,4,odontologia,Diurno,Ensino médio,112.0,Portugal,Ensino Secundário,Ensino Secundário,Pessoal Administrativo,Profissões das Forças Armadas,107.1,sim,Não,não,sim,Feminino,não,20,não,0,7,7,7,12.5,0,0,8,8,8,13.1375,0,12.4,0.5,1.79,Graduado
Solteiro,1ª fase - Entrada geral,1,Enfermagem,Diurno,Ensino médio,141.0,Portugal,Ensino Básico 3º Ciclo,Ensino Básico 2º Ciclo,"Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores","Trabalhadores Qualificados da Indústria, Construção e Artesãos",125.5,não,Não,não,sim,Feminino,não,18,não,0,8,10,8,12.86,2,0,8,10,8,12.86,2,9.4,-0.8,-3.12,Graduado
Solteiro,2ª fase - Entrada geral,4,Gestão de Publicidade e Marketing,Diurno,Ensino médio,135.0,Portugal,Ensino Básico 2º Ciclo,Ensino Básico 2º Ciclo,Trabalhadores Não Qualificados,"Trabalhadores Qualificados da Indústria, Construção e Artesãos",127.0,sim,Não,não,sim,Feminino,não,18,não,0,6,10,6,12.25,0,0,6,9,6,13.714285714285714,0,11.1,0.6,2.02,Graduado
Solteiro,1ª fase - Entrada geral,2,Medicina Veterinária,Diurno,Ensino médio,117.0,Portugal,Ensino Básico 2º Ciclo,Ensino básico 1º Ciclo,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,113.5,sim,Não,não,sim,Feminino,sim,21,não,0,5,7,4,12.0,0,0,5,5,5,12.2,0,10.8,1.4,1.74,Graduado
Solteiro,1ª fase - Entrada geral,1,Enfermagem,Diurno,Ensino médio,160.0,Portugal,Ensino Básico 3º Ciclo,Ensino Básico 3º Ciclo,Pessoal Administrativo,Trabalhadores Não Qualificados,154.4,não,Não,não,sim,Feminino,sim,18,não,0,7,9,7,15.116666666666667,0,0,8,9,8,16.168888888888887,0,15.5,2.8,-4.06,Graduado
Solteiro,Mudança de instituição/curso,1,Gestão de Publicidade e Marketing,Diurno,Ensino médio,136.0,Portugal,Ensino Básico 3º Ciclo,Ensino Básico 3º Ciclo,"Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores","Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores",122.0,não,Não,sim,não,Feminino,não,18,não,0,5,6,2,12.5,0,0,5,6,4,10.25,0,9.4,-0.8,-3.12,Desistente
Solteiro,2ª fase - Entrada geral,2,Serviço Social,Diurno,Ensino médio,143.0,Portugal,Ensino Secundário,7º Ano,Pessoal Administrativo,Técnicos e Profissões de Nível Intermediário,128.0,sim,Não,não,sim,Feminino,não,19,não,0,6,11,0,0.0,0,0,6,0,0,0.0,0,9.4,-0.8,-3.12,Desistente
Solteiro,1ª fase - Entrada geral,1,Gestão de Publicidade e Marketing,Diurno,Ensino médio,119.0,Portugal,Ensino Secundário,Ensino Básico 3º Ciclo,Pessoal Administrativo,Profissões das Forças Armadas,115.5,sim,Não,não,sim,Feminino,não,19,não,0,6,8,4,11.0,0,0,6,9,4,11.0,0,10.8,1.4,1.74,Matriculado
Solteiro,2ª fase - Entrada geral,4,Gestão de Publicidade e Marketing,Diurno,Ensino médio,120.0,Portugal,Ensino Secundário,Ensino Básico 3º Ciclo,"Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores","Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores",117.2,sim,Não,não,sim,Feminino,não,18,não,0,6,8,6,11.875,0,0,6,11,4,14.6,0,11.1,0.6,2.02,Graduado
Solteiro,Maiores de 23 anos,1,Equinicultura,Diurno,Ensino superior — licenciatura,150.0,Portugal,Ensino Superior - Bacharelado,Ensino Secundário,Outra Situação,Outra Situação,150.0,sim,Não,não,sim,Feminino,não,34,não,1,5,6,1,11.0,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Desistente
Solteiro,1ª fase - Entrada geral,3,Medicina Veterinária,Diurno,Ensino médio,142.0,Portugal,7º Ano,7º Ano,Outra Situação,Outra Situação,155.3,não,Não,não,sim,Feminino,não,19,não,0,5,5,5,15.2,0,0,5,6,5,13.2,0,7.6,2.6,0.32,Graduado
Solteiro,Titulares de diploma de especialização tecnológica,1,Equinicultura,Diurno,Curso de especialização tecnológica,120.0,Portugal,Ensino básico 1º Ciclo,Ensino básico 1º Ciclo,"Trabalhadores Qualificados da Indústria, Construção e Artesãos",Instaladores e Operadores de Máquinas e Trabalhadores de Montagem,120.0,sim,Não,sim,não,Feminino,não,19,não,2,6,7,5,11.6,0,1,6,12,2,11.0,0,12.4,0.5,1.79,Desistente
Solteiro,Mudança de instituição/curso,1,Serviço Social,Diurno,Ensino médio,160.0,Portugal,Ensino Superior - Bacharelado,Ensino Básico 3º Ciclo,Especialistas em Atividades Intelectuais e Científicas,"Representantes do Poder Legislativo e dos Órgãos Executivos, Diretores, Directores e Gerentes Executivos",116.1,não,Não,sim,sim,Feminino,não,26,não,0,6,6,6,14.833333333333334,0,0,6,7,6,15.142857142857142,0,11.1,0.6,2.02,Graduado
Solteiro,2ª fase - Entrada geral,1,Educação básica (pedagogia),Diurno,Ensino médio,133.1,Portugal,Desconhecido,Desconhecido,Estudante,Estudante,118.9,sim,Não,não,sim,Feminino,não,21,não,0,6,12,3,11.333333333333334,0,0,6,10,3,11.333333333333334,0,7.6,2.6,0.32,Desistente
Solteiro,2ª fase - Entrada geral,2,administração,Diurno,Ensino médio,142.0,Portugal,Ensino Básico 3º Ciclo,Ensino Básico 3º Ciclo,Pessoal Administrativo,Instaladores e Operadores de Máquinas e Trabalhadores de Montagem,127.3,não,Não,não,sim,Feminino,sim,18,não,0,5,5,5,11.2,0,0,5,5,5,11.8,0,11.1,0.6,2.02,Graduado
Solteiro,2ª fase - Entrada geral,4,Educação básica (pedagogia),Diurno,Ensino médio,121.0,Portugal,Ensino Básico 2º Ciclo,Ensino Básico 2º Ciclo,"Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores","Trabalhadores Qualificados da Indústria, Construção e Artesãos",113.7,sim,Não,não,sim,Feminino,sim,20,não,0,6,8,5,13.4,0,0,6,9,5,13.666666666666666,0,9.4,-0.8,-3.12,Graduado
Solteiro,Mudança de instituição/curso,1,administração,Diurno,Ensino médio,135.0,Portugal,Ensino Secundário,Ensino Secundário,Pessoal Administrativo,Pessoal Administrativo,118.5,não,Não,não,sim,Feminino,não,25,não,0,5,12,2,10.5,0,0,5,5,0,0.0,0,11.1,0.6,2.02,Desistente
Solteiro,1ª fase - Entrada geral,1,administração,Diurno,Ensino médio,153.0,Portugal,Ensino Secundário,Ensino Básico 2º Ciclo,Pessoal Administrativo,Técnicos e Profissões de Nível Intermediário,146.7,não,Não,não,sim,Feminino,não,18,não,0,5,5,5,16.2,0,0,5,5,5,16.4,0,11.1,0.6,2.02,Graduado
Solteiro,1ª fase - Entrada geral,1,Enfermagem,Diurno,Ensino médio,140.0,Portugal,Ensino Básico 3º Ciclo,Ensino Básico 3º Ciclo,Técnicos e Profissões de Nível Intermediário,"Agricultores e Trabalhadores Qualificados da Agricultura, Pesca e Silvicultura",124.3,sim,Não,não,sim,Feminino,sim,18,não,0,7,7,7,14.542857142857144,0,0,8,11,8,14.88181818181818,0,16.2,0.3,-0.92,Graduado
Solteiro,1ª fase - Entrada geral,1,Enfermagem,Diurno,Ensino médio,152.0,Portugal,Curso superior especializado,Ensino Básico 3º Ciclo,Técnicos e Profissões de Nível Intermediário,"Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores",137.8,não,Não,não,sim,Feminino,não,19,não,0,7,7,7,13.694285714285714,0,0,8,9,8,14.355555555555554,0,11.1,0.6,2.02,Graduado
Solteiro,1ª fase - Entrada geral,1,Serviço Social,Diurno,Ensino médio,120.0,Portugal,Ensino Básico 3º Ciclo,Ensino Básico 2º Ciclo,"Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores",Trabalhadores Não Qualificados,130.2,não,Não,não,sim,Feminino,sim,18,não,0,6,8,6,11.285714285714286,0,0,6,10,6,11.857142857142858,0,12.4,0.5,1.79,Graduado
Solteiro,2ª fase - Entrada geral,1,Enfermagem,Diurno,Ensino médio,160.0,Portugal,Ensino Básico 2º Ciclo,Ensino Básico 2º Ciclo,"Trabalhadores Qualificados da Indústria, Construção e Artesãos","Trabalhadores Qualificados da Indústria, Construção e Artesãos",147.8,não,Não,não,sim,Feminino,não,20,não,0,7,11,6,11.757142857142856,0,0,8,12,6,13.083333333333334,0,15.5,2.8,-4.06,Matriculado
Solteiro,Titulares de outros cursos superiores,1,Medicina Veterinária,Diurno,Ensino superior - licenciatura (1.º ciclo),150.0,Portugal,Ensino Básico 3º Ciclo,Ensino Básico 3º Ciclo,Trabalhadores Não Qualificados,"Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores",150.0,não,Não,sim,não,Feminino,não,26,não,0,3,3,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,Desistente
